Column1;listing.city;listing.neighborhood;p3_summary_title;description_locale;listing.extra_host_languages;listing.star_rating
146;barcelona;Sants-Montjuïc;BARCELONA FIFTEEN twin studio;en;['en', 'fr', 'it'];45
147;barcelona;Vila de Gràcia;Modern & Cozy Apartment in Gràcia;en;['en'];50
148;barcelona;Sant Martí;Double apartment - Independència ABAPART;en;[];45
149;barcelona;Dreta de l'Eixample;PRIVATE SUITE: 2 BEDROOMS, 1 BATHROOM AND TERRACE;en;['en'];50
150;barcelona;El Gòtic;Charming place @ Heart of Barcelona's Old City;en;['en', 'fr'];50
151;barcelona;Eixample;COZY COMFORTABLE APARTMENT WELLOCATED AND PARKING;en;['en'];50
152;barcelona;El Poble-sec;3 rooms, 2 bathrooms in the touristic city centre;en;['de', 'en', 'fr', 'pl', 'ru'];45
153;barcelona;L'Antiga Esquerra de l'Eixample;Beautiful apartment in the center;en;['en', 'fr'];50
154;barcelona;Eixample;Cozy Apartment Diagonal;en;['en'];50
155;barcelona;Sant Martí;New apartment near Sagrada Familia;en;['en', 'it'];50
156;barcelona;L'Antiga Esquerra de l'Eixample;Cool & Quaint Loft in Barcelona!;en;['en', 'it'];45
157;barcelona;Sant Martí;Bohemian Dreams at a Plant-filled Design Loft near the Beach;en;['en', 'fr', 'pt'];50
158;barcelona;Sants-Montjuïc;Amplio loft de diseño vintage cerca de Montjuïc;es;['en', 'fr', 'it'];50
159;barcelona;Eixample;Amazing views, centric apt w/terrac;ca;['en', 'fr', 'pt'];45
160;barcelona;El Gòtic;Double room -The moods Catedral (great location);en;[];50
161;barcelona;Sant Gervasi - Galvany;Scenic Mountain Views from Sant Gervasi-Galvany;en;['en', 'fr'];50
162;barcelona;Camp d'en Grassot i Gràcia Nova;WIFI Nice apartment 10mn SagFamilia;en;['en'];45
163;barcelona;Sant Martí;"Quiet & lovely  5"" to the beach";es;[];45
164;barcelona;Eixample;Tiny Double Room;en;['en', 'it'];50
165;barcelona;Eixample;Special duplex in Sagrada Familia;en;['en'];50
166;barcelona;L'Antiga Esquerra de l'Eixample;New center Penthouse with terrace;en;['en', 'fr'];45
167;barcelona;Sant Antoni;Colorful Apartment with Private Leafy Balcony;en;['en', 'fr', 'no'];50
